"Species","measure_class","Measure","Units","Value","Value_median","n_sources","n_teams","n_teams_primary","primary_used","Teams","roles","basis","value_min","value_max"
"10","mass","Brain_Mass_measured","g",79,79,1,1,0,FALSE,"Zilles","secondary","mass_fresh",79,79
"101","mass","Brain_Mass_measured","g",1370,1370,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1370,1370
"102","mass","Brain_Mass_measured","g",1329,1329,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1329,1329
"104","mass","Brain_Mass_measured","g",1460,1460,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1460,1460
"105","mass","Brain_Mass_measured","g",1209,1209,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1209,1209
"106","mass","Brain_Mass_measured","g",1332,1332,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1332,1332
"107","mass","Brain_Mass_measured","g",1343,1343,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1343,1343
"108","mass","Brain_Mass_measured","g",1550,1550,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1550,1550
"109","mass","Brain_Mass_measured","g",1172,1172,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1172,1172
"11","mass","Brain_Mass_measured","g",115,115,1,1,0,FALSE,"Zilles","secondary","mass_fresh",115,115
"111","mass","Brain_Mass_measured","g",1380,1380,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1380,1380
"112","mass","Brain_Mass_measured","g",1409,1409,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1409,1409
"113","mass","Brain_Mass_measured","g",1420,1420,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1420,1420
"114","mass","Brain_Mass_measured","g",1437,1437,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1437,1437
"115","mass","Brain_Mass_measured","g",1234,1234,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1234,1234
"116","mass","Brain_Mass_measured","g",1010,1010,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1010,1010
"117","mass","Brain_Mass_measured","g",1334,1334,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1334,1334
"118","mass","Brain_Mass_measured","g",1198,1198,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1198,1198
"12","mass","Brain_Mass_measured","g",153,153,1,1,0,FALSE,"Zilles","secondary","mass_fresh",153,153
"120","mass","Brain_Mass_measured","g",1328,1328,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1328,1328
"121","mass","Brain_Mass_measured","g",1260,1260,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1260,1260
"122","mass","Brain_Mass_measured","g",1560,1560,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1560,1560
"123","mass","Brain_Mass_measured","g",1622,1622,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1622,1622
"125","mass","Brain_Mass_measured","g",1270,1270,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1270,1270
"128","mass","Brain_Mass_measured","g",1142,1142,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1142,1142
"13","mass","Brain_Mass_measured","g",190,190,1,1,0,FALSE,"Zilles","secondary","mass_fresh",190,190
"130","mass","Brain_Mass_measured","g",1040,1040,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1040,1040
"131","mass","Brain_Mass_measured","g",1340,1340,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1340,1340
"132","mass","Brain_Mass_measured","g",1392,1392,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1392,1392
"133","mass","Brain_Mass_measured","g",1360,1360,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1360,1360
"135","mass","Brain_Mass_measured","g",1216,1216,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1216,1216
"136","mass","Brain_Mass_measured","g",1569,1569,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1569,1569
"137","mass","Brain_Mass_measured","g",1519,1519,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1519,1519
"138","mass","Brain_Mass_measured","g",1363,1363,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1363,1363
"140","mass","Brain_Mass_measured","g",1381,1381,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1381,1381
"141","mass","Brain_Mass_measured","g",1349,1349,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1349,1349
"142","mass","Brain_Mass_measured","g",1310,1310,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1310,1310
"143","mass","Brain_Mass_measured","g",1351,1351,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1351,1351
"145","mass","Brain_Mass_measured","g",1351,1351,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1351,1351
"146","mass","Brain_Mass_measured","g",1110,1110,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1110,1110
"147","mass","Brain_Mass_measured","g",1350,1350,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1350,1350
"148","mass","Brain_Mass_measured","g",1288,1288,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1288,1288
"149","mass","Brain_Mass_measured","g",1302,1302,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1302,1302
"15","mass","Brain_Mass_measured","g",274,274,1,1,0,FALSE,"Zilles","secondary","mass_fresh",274,274
"150","mass","Brain_Mass_measured","g",1046,1046,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1046,1046
"151","mass","Brain_Mass_measured","g",1113,1113,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1113,1113
"17","mass","Brain_Mass_measured","g",485,485,1,1,0,FALSE,"Zilles","secondary","mass_fresh",485,485
"24","mass","Brain_Mass_measured","g",380,380,1,1,0,FALSE,"Zilles","secondary","mass_fresh",380,380
"25","mass","Brain_Mass_measured","g",373,373,1,1,0,FALSE,"Zilles","secondary","mass_fresh",373,373
"26","mass","Brain_Mass_measured","g",426,426,1,1,0,FALSE,"Zilles","secondary","mass_fresh",426,426
"28","mass","Brain_Mass_measured","g",114,114,1,1,0,FALSE,"Zilles","secondary","mass_fresh",114,114
"29","mass","Brain_Mass_measured","g",161,161,1,1,0,FALSE,"Zilles","secondary","mass_fresh",161,161
"30","mass","Brain_Mass_measured","g",362,362,1,1,0,FALSE,"Zilles","secondary","mass_fresh",362,362
"31","mass","Brain_Mass_measured","g",347,347,1,1,0,FALSE,"Zilles","secondary","mass_fresh",347,347
"32","mass","Brain_Mass_measured","g",404,404,1,1,0,FALSE,"Zilles","secondary","mass_fresh",404,404
"33","mass","Brain_Mass_measured","g",376,376,1,1,0,FALSE,"Zilles","secondary","mass_fresh",376,376
"34","mass","Brain_Mass_measured","g",456,456,1,1,0,FALSE,"Zilles","secondary","mass_fresh",456,456
"36","mass","Brain_Mass_measured","g",510,510,1,1,0,FALSE,"Zilles","secondary","mass_fresh",510,510
"37","mass","Brain_Mass_measured","g",500,500,1,1,0,FALSE,"Zilles","secondary","mass_fresh",500,500
"39","mass","Brain_Mass_measured","g",337,337,1,1,0,FALSE,"Zilles","secondary","mass_fresh",337,337
"41","mass","Brain_Mass_measured","g",630,630,1,1,0,FALSE,"Zilles","secondary","mass_fresh",630,630
