Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Abeomelomys sevia,,1.49,,
Acinonyx jubatus,,111.0,,
Acomys cahirinus,,0.7,,
Acomys wilsoni,,0.58,,
Acrobates pygmaeus,,0.35,,
Addax nasomaculatus,,185.0,,
Aepyceros melampus,,175.0,,
Aepyprymnus rufescens,,12.3,,
Aeromys tephromelas,,10.34,,
Aethomys chrysophilus,,1.25,,
Aethomys hindei,,1.42,,
Aethomys namaquensis,,0.89,,
Agouti paca,,35.2167,,
Ailuropoda melanoleuca,,205.0,,
Ailurus fulgens,,46.8,,
Akodon azarae,,0.642,,
Alcelaphus buselaphus,,284.9,,
Alcelaphus lichtensteinii,,357.0,,
Alces alces,,436.0,,
Alces americanus,,407.0,,
Allactaga sibirica,,3.5,,
Allenopithecus nigroviridis,,58.021,,
Alligator,,,5.8,
Alouatta belzebul,,52.8438,,
Alouatta caraya,,50.7,55.8,
Alouatta guariba,,49.1,,
Alouatta macconnelli,,61.3308,,
Alouatta palliata,,50.035,52.75,
Alouatta pigra,,51.125,,
Alouatta sara,,59.0833,,
Alouatta seniculus,,45.5,51.5,
Amblonyx cinereus,,,38.1,
Amblysomus hottentotus,0.812,,,
Ametrida centurio,,0.29,,
Ametrida centurio (STE),,,0.29,
Ammospermophilus harrisii,,2.24,,
Ammospermophilus insularis,,2.55,,
Ammospermophilus interpres,,2.5,,
Ammospermophilus leucurus,,2.33,,
Ammospermophilus nelsoni,,2.31,,
Ammotragus lervia,,209.0,,
Anoura caudifer,,0.4225,0.4095,
Anoura geoffroyi,,0.583,0.5896,
Anourosorex squamipes,,,0.3992,
Antechinomys laniger,,0.47,,
Antechinus agilis,,0.56,,
Antechinus bellus,,0.6527,,
Antechinus flavipes,,0.663,,
Antechinus flavipes (x),,,0.765,
Antechinus leo,,0.777,,
Antechinus minimus,,0.7666,,
Antechinus stuartii,,0.7874,,
Antechinus subtropicus,,0.72,,
Antechinus swainsonii,,1.1292,,
Antidorcas marsupialis,105.081,135.0,,
Antilocapra americana,,125.6,,
Antilope cervicapra,,110.8,,
Aonyx capensis,,94.6,,
Aonyx cinerea,,38.09,,
Aotus azarae,,20.7,,
Aotus lemurinus,,113.5,,
Aotus sp.,,21.0,16.35,
Aotus trivirgatus,15.73,15.895,17.0292,
Aplodontia rufa,,7.04,,
Apodemus agrarius,,0.2,,
Apodemus flavicollis,,0.7,0.77,
Apodemus sylvaticus,,0.585,,
Ara ararauna,,,20.7297,
Arctictis binturong,,40.85,,
Arctocebus aureus,,5.8776,,
Arctocebus calabarensis,,6.9214,,
Arctocebus sp.,,7.2,,
Arctocephalus australis,,307.5,,
Arctocephalus forsteri,,320.0,,
Arctocephalus galapagoensis,,291.25,,
Arctocephalus gazella,,340.0,,
Arctocephalus philippii,,415.0,,
Arctocephalus pusillus,,369.375,,
Arctocephalus tropicalis,,326.25,,
Arctogalidia trivirgata,,21.98,,
Arctonyx collaris,,49.4,,
Ardops annectans (STE),,,0.61,
Ardops nichollsi,,0.61,0.55,
Artibeus cinereus,,0.4685,0.467,
Artibeus concolor,,0.633,0.633,
Artibeus glaucus,,0.476,,
Artibeus jamaicensis,,0.93,1.0467,
Artibeus lituratus,,1.05,1.27,
Artibeus phaeotis,,0.448,,
Artibeus toltecus,,0.544,,
Arvicanthis niloticus,,1.33,,
Arvicola amphibius,,1.64,,
Arvicola terrestris,,1.64,,
Asellia tridens,,0.24,,
Aselliscus stoliczkanus,,0.15,0.1503,
Aselliscus tricuspidatus,,0.134,0.1347,
Atelerix albiventris,,2.24,2.2865,
Atelerix algirus,,3.2,3.4333,
Ateles belzebuth,,105.1,,
Ateles chamek,,99.0,,
Ateles fusciceps,,113.6,,
Ateles geoffroyi,,104.9625,80.866,
Ateles hybridus,,103.0541,,
Ateles marginatus,,97.0,,
Ateles paniscus,,108.96,108.5,
Ateles sp.,,110.0,,
Ateles spec.,,,0.87,
Atelocynus microtis,,62.18,,
Atherurus africanus,,21.885,,
Atherurus macrourus,,31.57,,
Atilax paludinosus,,28.5,,
Avahi laniger,,10.49,10.0683,
Avahi occidentalis,,8.81,9.67,
Axis axis,,219.0,219.0,
Axis porcinus,,142.0,,
Babyrousa babyrussa,,127.0,,
Balaena mysticetus,,2738.0,,
Balaenoptera acutorostrata,2683.9,2850.0,,
Balaenoptera borealis,,4900.0,4900.0,
Balaenoptera musculus,,3636.0,3636.0,
Balaenoptera physalus,,5100.0,7111.43,
Balionycteris maculata,,0.5107,0.51,
Barbastella barbastellus,,0.184,,
Bassaricyon alleni,,19.37,,
Bassaricyon gabbii,,19.3,,
Bassariscus astutus,,16.0,,
Bassariscus sumichrasti,,41.9,,
Bathyergus suillus,,3.75,,3.78
Bdeogale crassicauda,,16.95,,
Beamys hindei,,1.11,,
Berylmys bowersi,,4.63,,
Bettongia gaimardi,,12.1212,,
Bettongia lesueur,,10.5,,
